Index,suggestions,sortWeight,searchBy
1,"Mumbai, Maharashtra, India",915,location
2,"Pune, Maharashtra, India",912,location
3,"Bengaluru / Bangalore, Karnataka, India",911,location
4,"Delhi, Delhi-NCR, India",911,location
5,"Lucknow, Uttar Pradesh, India",906,location
6,"Nagpur, Maharashtra, India",906,location
7,"Ahmedabad, Gujarat, India",904,location
8,"Kolkata, West Bengal, India",904,location
9,"Chennai, Tamil Nadu, India",902,location
10,"Gurgaon, Delhi-NCR, India",901,location
11,"Hyderabad, Telangana, India",898,location
12,"Kanpur, Uttar Pradesh, India",897,location
13,"Ghaziabad, Delhi-NCR, India",896,location
14,"Jaipur, Rajasthan, India",896,location
15,"Ludhiana, Punjab, India",896,location
16,"Surat, Gujarat, India",896,location
17,"Indore, Madhya Pradesh, India",895,location
18,"Noida, Delhi-NCR, India",894,location
19,"Patna, Bihar, India",892,location
20,"Nashik, Maharashtra, India",891,location
21,"Varanasi, Uttar Pradesh, India",891,location
22,"Vadodara, Gujarat, India",889,location
23,"Agra, Uttar Pradesh, India",888,location
24,"Bhopal, Madhya Pradesh, India",888,location
25,"Allahabad, Uttar Pradesh, India",886,location
26,"Amritsar, Punjab, India",885,location
27,"Faridabad, Delhi-NCR, India",883,location
28,"Jalandhar, Punjab, India",883,location
29,"Aurangabad, Maharashtra, India",882,location
30,"Gorakhpur, Uttar Pradesh, India",877,location
31,"Kolhapur, Maharashtra, India",877,location
32,"Rajkot, Gujarat, India",877,location
33,"Coimbatore, Tamil Nadu, India",873,location
34,"Meerut, Uttar Pradesh, India",873,location
35,"Aurangabad, Bihar, India",872,location
36,"Bareilly, Uttar Pradesh, India",872,location
37,"Hyderabad, Sindh, Pakistan",872,location
38,"Chandigarh, Chandigarh, India",871,location
39,"Ahmednagar, Maharashtra, India",870,location
40,"Guwahati, Assam, India",868,location
41,"Ranchi, Jharkhand, India",868,location
42,"Solapur, Maharashtra, India",868,location
43,"Jabalpur, Madhya Pradesh, India",867,location
44,"Belagavi / Belagaum, Karnataka, India",865,location
45,"Bhubaneswar, Orissa, India",865,location
46,"Sangli, Maharashtra, India",865,location
47,"Gwalior, Madhya Pradesh, India",864,location
48,"Patiala, Punjab, India",864,location
49,"Satara, Maharashtra, India",864,location
50,"Amravati, Maharashtra, India",861,location
51,"Dehradun, Uttaranchal, India",857,location
52,"Mysuru / Mysore, Karnataka, India",857,location
53,"Anantapur, Andhra Pradesh, India",855,location
54,"Moradabad, Uttar Pradesh, India",854,location
55,"Dubai, Dubai, United Arab Emirates",853,location
56,"Raipur, Chhattisgarh, India",853,location
57,"Chittoor, Andhra Pradesh, India",851,location
58,"Howra, West Bengal, India",851,location
59,"Aligarh, Uttar Pradesh, India",850,location
60,"Kota, Rajasthan, India",849,location
61,"Visakhapatnam, Andhra Pradesh, India",849,location
62,"Jalgaon, Maharashtra, India",848,location
63,"Jamshedpur, Jharkhand, India",848,location
64,"Hoshiarpur, Punjab, India",847,location
65,"Guntur, Andhra Pradesh, India",845,location
66,"Hubbali-Dharwad, Karnataka, India",844,location
67,"Jodhpur, Rajasthan, India",844,location
68,"Thane, Maharashtra, India",844,location
69,"Cuttack, Orissa, India",836,location
70,"Bardhaman, West Bengal, India",835,location
71,"Dhanbad, Jharkhand, India",834,location
72,"Ajmer, Rajasthan, India",833,location
73,"Bathinda, Punjab, India",832,location
74,"Ambala, Haryana, India",831,location
75,"Saharanpur, Uttar Pradesh, India",831,location
76,"Anand, Gujarat, India",829,location
77,"Jhansi, Uttar Pradesh, India",829,location
78,"Udaipur, Rajasthan, India",829,location
79,"Madurai, Tamil Nadu, India",828,location
80,"Bilaspur, Chhattisgarh, India",827,location
81,"Salem, Tamil Nadu, India",827,location
82,"Muzaffarpur, Bihar, India",826,location
83,"Bilaspur, Himachal Pradesh, India",824,location
84,"Alwar, Rajasthan, India",822,location
85,"Ernakulam, Kerala, India",822,location
86,"Kalaburagi / Gulbarga, Karnataka, India",822,location
87,"Jammu, Jammu & Kashmir, India",818,location
88,"Midnapore, West Bengal, India",816,location
89,"Toronto, Ontario, Canada",816,location
90,"Mathura, Uttar Pradesh, India",814,location
91,"New Delhi, Delhi-NCR, India",814,location
92,"Tiruchirappalli, Tamil Nadu, India",813,location
93,"Chandrapur, Maharashtra, India",812,location
94,"Thiruvananthapuram, Kerala, India",812,location
95,"Lahore, Punjab, Pakistan",811,location
96,"Sangrur, Punjab, India",811,location
97,"Durg, Chhattisgarh, India",809,location
98,"Bhagalpur, Bihar, India",808,location
99,"Dakshina Kannada, Karnataka, India",808,location
100,"Nanded, Maharashtra, India",807,location
101,"Vellore, Tamil Nadu, India",807,location
102,"Latur, Maharashtra, India",805,location
103,"Gurdaspur, Punjab, India",803,location
104,"Udaipur, Tripura, India",802,location
105,"Karnal, Haryana, India",801,location
106,"Mohali, Punjab, India",801,location
107,"Dakshina Kannada, Andhra Pradesh, India",799,location
108,"Muzaffarnagar, Uttar Pradesh, India",799,location
109,"Rohtak, Haryana, India",799,location
110,"Akola, Maharashtra, India",797,location
111,"Asansol, West Bengal, India",797,location
112,"Hissar, Haryana, India",797,location
113,"Siliguri, West Bengal, India",796,location
114,"Bijnor, Uttar Pradesh, India",795,location
115,"Jamnagar, Gujarat, India",795,location
116,"New York, New York, USA",795,location
117,"Gaya, Bihar, India",794,location
118,"Salem, New Jersey, USA",793,location
119,"Salem, Illinois, USA",791,location
120,"Bhavnagar, Gujarat, India",789,location
121,"Jaunpur, Uttar Pradesh, India",789,location
122,"Sonepat, Haryana, India",789,location
123,"Dhaka, Dhaka, Bangladesh",788,location
124,"Azamgarh, Uttar Pradesh, India",787,location
125,"Panipat, Haryana, India",786,location
126,"Ara, Bihar, India",784,location
127,"Gandhinagar, Gujarat, India",783,location
128,"Ujjain, Madhya Pradesh, India",783,location
129,"Kurnool, Andhra Pradesh, India",781,location
130,"Bharuch, Gujarat, India",779,location
131,"Barasat, West Bengal, India",778,location
132,"Chhindwara, Madhya Pradesh, India",778,location
133,"Rewa, Madhya Pradesh, India",777,location
134,"Melbourne, Victoria, Australia",776,location
135,"Salem, Massachusetts, USA",776,location
136,"Berhampur, Orissa, India",775,location
137,"Salem, Virginia, USA",775,location
138,"Moga, Punjab, India",774,location
139,"Davanagere, Karnataka, India",773,location
140,"Erode, Tamil Nadu, India",773,location
141,"Toronto, Ohio, USA",772,location
142,"Begusarai, Bihar, India",771,location
143,"Melbourne, Florida, USA",771,location
144,"Vijayapura / Bijapur, Karnataka, India",770,location
